,mod,org
564,47539,48384
565,47538,48445
566,47539,48445
567,47464,48400
568,47465,48400
569,16833,48400
570,1,48400
571,47517,48400
572,47476,48401
573,47477,48400
574,47476,48450
575,47477,48381
576,47476,48252
577,47477,48339
578,47476,48340
579,47477,48339
580,0,48340
581,0,48339
582,0,2311
583,0,48340
584,0,48480
585,0,48356
586,0,48357
587,0,48356
588,0,48351
589,0,48354
590,0,48343
591,0,48351
