,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
448,38236794,28957,11352802,542,528869,425227,139,0
449,38285235,28957,11401127,542,528869,425227,139,0
450,38333896,28958,11449672,542,528869,425227,139,0
451,38382389,28958,11498049,542,528870,425227,139,0
452,38430927,28958,11546427,542,528870,425227,139,0
453,38479374,28988,11594714,542,528870,425227,139,0
454,39448263,28988,11596184,542,528900,425227,139,0
455,40417122,28988,11596229,542,528900,425227,139,0
456,40467056,28988,11644607,542,528900,425227,139,0
457,40515517,28988,11692981,542,528900,425227,139,0
458,40563977,28988,11741354,542,528900,425227,139,0
459,40612482,28989,11789771,542,528900,425227,139,0
460,40660990,28989,11838191,543,528900,425227,139,0
461,40709458,28989,11886571,543,528900,425227,139,0
462,40757926,28989,11934951,543,528900,425227,139,0
463,40806381,28992,11983318,543,528900,425227,139,0
464,40854844,28992,12031691,543,528903,425227,139,0
465,40903306,28992,12080066,543,528903,425227,139,0
466,40951769,28992,12128442,543,528903,425227,139,0
467,41000210,28992,12176796,543,528903,425227,139,0
468,41048658,28992,12225153,543,528903,425227,139,0
469,41097168,28992,12273570,543,528903,425227,139,0
470,41145622,28996,12321931,543,528903,425227,139,0
471,41194073,29000,12370289,543,528907,425227,139,0
472,41242527,29000,12418654,543,528911,425227,139,0
473,41290978,29000,12467020,543,528911,425227,139,0
474,41339428,29000,12515385,543,528911,425227,139,0
475,41387881,29000,12563753,543,528911,425227,139,0
476,42356764,29000,12564946,543,528911,425227,139,0
477,43325647,29000,12564946,543,528911,425227,139,0
478,43375419,29000,12613367,543,528911,425227,139,0
479,43423998,29000,12661788,543,528911,425227,139,0
480,43472395,29030,12710070,543,528911,425227,139,0
481,43520848,29030,12758408,543,528941,425227,139,0
482,43569272,29030,12806746,543,528941,425227,139,0
483,43617696,29030,12855084,543,528941,425227,139,0
484,43666148,29030,12903450,543,528941,425227,139,0
485,43714601,29030,12951817,543,528941,425227,139,0
486,43763035,29030,13000165,543,528941,425227,139,0
487,43811643,29031,13048684,543,528941,425227,139,0
488,43860280,29031,13097232,544,528941,425227,139,0
489,43908741,29031,13145604,544,528941,425227,139,0
490,43957204,29031,13193977,544,528941,425227,139,0
491,44005656,29034,13242340,544,528941,425227,139,0
492,44054115,29034,13290710,544,528944,425227,139,0
493,44102569,29034,13339079,544,528944,425227,139,0
494,44151023,29034,13387448,544,528944,425227,139,0
495,44199477,29034,13435817,544,528944,425227,139,0
496,44247931,29034,13484186,544,528944,425227,139,0
497,44296565,29034,13532733,544,528944,425227,139,0
498,45265448,29034,13533708,544,528944,425227,139,0
499,46234331,29034,13533708,544,528944,425227,139,0
500,46283764,29034,13582079,544,528944,425227,139,0
501,46332217,29036,13630445,544,528944,425227,139,0
502,46380717,29036,13678815,545,528945,425227,139,0
503,46429217,29036,13727187,545,528945,425227,139,0
504,46477716,29036,13775558,545,528945,425227,139,0
505,46526193,29036,13823907,545,528945,425227,139,0
506,46574726,29036,13872326,545,528945,425227,139,0
507,46623259,29036,13920745,545,528945,425227,139,0
508,46671742,29036,13969114,545,528945,425227,139,0
509,46720226,29036,14017484,545,528945,425227,139,0
510,46768624,29065,14065767,545,528945,425227,139,0
511,46817079,29065,14114107,546,528973,425227,139,0
512,46865533,29065,14162475,546,528973,425227,139,0
513,46913988,29065,14210843,546,528973,425227,139,0
514,46962442,29065,14259210,546,528973,425227,139,0
515,47010901,29065,14307578,546,528973,425227,139,0
516,47059406,29066,14355992,546,528973,425227,139,0
517,47107913,29066,14404409,547,528973,425227,139,0
518,47156370,29066,14452777,547,528973,425227,139,0
519,47204818,29069,14501136,547,528973,425227,139,0
520,48173701,29070,14502470,547,528976,425227,139,0
521,49142581,29070,14502470,547,528977,425227,139,0
522,49192368,29070,14550838,547,528977,425227,139,0
523,49240805,29070,14599190,547,528977,425227,139,0
524,49289246,29070,14647545,547,528977,425227,139,0
525,49337758,29070,14695970,547,528977,425227,139,0
526,49386270,29070,14744395,547,528977,425227,139,0
527,49434729,29070,14792767,547,528977,425227,139,0
528,49483228,29071,14841136,547,528977,425227,139,0
529,49531726,29072,14889504,547,528978,425227,139,0
530,49580221,29072,14937870,547,528979,425227,139,0
531,49628716,29072,14986237,547,528979,425227,139,0
532,49677211,29072,15034604,547,528979,425227,139,0
533,49725706,29072,15082970,547,528979,425227,139,0
534,49774187,29072,15131337,547,528979,425227,139,0
535,49822717,29072,15179753,547,528979,425227,139,0
536,49871198,29072,15228120,547,528979,425227,139,0
537,49919676,29073,15276484,547,528979,425227,139,0
538,49968073,29101,15324767,548,528979,425227,139,0
539,50016526,29101,15373105,548,529007,425227,139,0
540,50064953,29101,15421444,548,529007,425227,139,0
541,50113407,29101,15469810,548,529007,425227,139,0
542,51082289,29101,15471231,548,529007,425227,139,0
543,52051171,29101,15471231,548,529007,425227,139,0
544,52101096,29102,15519644,548,529007,425227,139,0
545,52149602,29102,15568060,549,529007,425227,139,0
546,52198050,29106,15616419,549,529007,425227,139,0
547,52246506,29106,15664786,549,529011,425227,139,0
548,52294954,29106,15713149,549,529011,425227,139,0
549,52343402,29106,15761512,549,529011,425227,139,0
550,52391854,29106,15809879,549,529011,425227,139,0
551,52440306,29106,15858246,549,529011,425227,139,0
552,52488759,29106,15906614,549,529011,425227,139,0
553,52537268,29106,15955037,549,529011,425227,139,0
554,52585728,29106,16003411,549,529011,425227,139,0
555,52634188,29106,16051785,549,529011,425227,139,0
556,52682691,29106,16100159,549,529011,425227,139,0
557,52731191,29107,16148530,549,529011,425227,139,0
558,52779694,29107,16196904,550,529011,425227,139,0
559,52828195,29107,16245277,550,529011,425227,139,0
560,52876576,29107,16293281,550,529302,425227,139,0
561,52924642,29107,16341261,550,529302,425227,139,0
562,52972708,29108,16389241,550,529302,425227,139,0
563,53020876,29108,16437296,550,529303,425227,139,0
564,53989410,29108,16439950,550,529303,425227,139,0
565,54957944,29135,16439950,550,529303,425227,139,0
566,55008684,29135,16487924,550,529330,425227,139,0
567,55056744,29135,16535898,550,529330,425227,139,0
568,55104801,29136,16583869,550,529330,425227,139,0
569,55152860,29136,16631841,550,529331,425227,139,0
