,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
205,48910,0,48430,0,111,0,0,0
206,48431,0,48431,0,0,0,0,0
207,48430,0,48430,0,0,0,0,0
208,968814,6,1616,0,0,0,0,0
209,48914,29,48396,0,6,0,0,0
210,537123,68,48248,0,29,0,0,0
211,583991,0,48322,0,68,0,0,0
212,48369,0,48321,0,0,0,0,0
213,968711,0,42354,0,0,0,0,0
214,48321,0,48321,0,0,0,0,0
215,48322,0,48322,0,0,0,0,0
216,48322,0,48322,0,0,0,0,0
217,48323,0,48322,0,0,0,0,0
218,48363,0,48363,0,0,0,0,0
219,486072,0,48363,0,0,0,0,0
220,48322,0,48322,0,0,0,0,0
221,48302,0,48302,0,0,0,0,0
222,477288,0,48305,0,0,0,0,0
223,48306,0,48304,0,0,0,0,0
224,48302,0,48302,0,0,0,0,0
225,48301,0,48301,0,0,0,0,0
226,48304,0,48302,0,0,0,0,0
227,48301,0,48301,0,0,0,0,0
228,48364,0,48364,0,0,0,0,0
229,968711,1,6502,0,0,0,0,0
230,48299,10,48288,0,1,0,0,0
231,573993,23,48238,0,10,0,0,0
232,586302,0,48280,0,23,0,0,0
233,48327,0,48279,0,0,0,0,0
234,968677,0,1828,0,0,0,0,0
235,48280,0,48280,0,0,0,0,0
236,48279,0,48279,0,0,0,0,0
237,48332,0,48332,0,0,0,0,0
238,48330,1,48329,0,0,0,0,0
239,48281,0,48280,0,1,0,0,0
240,489470,1,48259,0,0,0,0,0
241,48265,0,48264,0,1,0,0,0
242,48263,0,48263,0,0,0,0,0
243,436476,0,48264,0,0,0,0,0
244,48264,0,48263,0,0,0,0,0
245,48264,0,48264,0,0,0,0,0
246,48329,0,48329,0,0,0,0,0
247,48331,0,48329,0,0,0,0,0
248,48283,0,48283,0,0,0,0,0
249,48284,0,48284,0,0,0,0,0
250,968675,0,42868,0,0,0,0,0
251,48284,0,48284,0,0,0,0,0
252,533045,0,48285,0,0,0,0,0
253,622281,0,48284,0,0,0,0,0
254,50155,0,48093,0,186,0,0,0
255,968490,0,8469,0,0,0,0,0
256,48255,0,48255,0,0,0,0,0
257,48092,0,48092,0,0,0,0,0
258,48069,0,48069,0,0,0,0,0
259,48072,0,48072,0,0,0,0,0
260,48071,0,48071,0,0,0,0,0
261,531988,0,48072,0,0,0,0,0
262,48071,0,48071,0,0,0,0,0
263,54713,0,48072,0,0,0,0,0
264,428562,0,48071,0,0,0,0,0
265,48143,0,48142,0,0,0,0,0
266,48142,0,48142,0,0,0,0,0
267,48092,0,48092,0,0,0,0,0
268,48093,0,48091,0,0,0,0,0
269,48092,0,48092,0,0,0,0,0
270,48091,0,48091,0,0,0,0,0
271,968490,0,2807,0,0,0,0,0
272,54551,0,48092,0,0,0,0,0
273,531155,0,48092,0,0,0,0,0
274,387669,0,48138,0,0,0,0,0
275,247174,0,48138,0,0,0,0,0
276,870475,0,48091,0,0,0,0,0
277,144366,0,48069,0,0,0,0,0
278,48072,0,48072,0,0,0,0,0
279,48450,0,48296,36,114,4,0,0
280,48296,0,48296,0,0,0,0,0
281,48297,0,48297,0,0,0,0,0
282,532147,0,48296,0,0,0,0,0
283,48297,0,48297,0,0,0,0,0
284,96455,0,48364,0,0,0,0,0
285,385871,0,48313,0,0,0,0,0
286,48315,0,48314,0,0,0,0,0
287,48313,0,48313,0,0,0,0,0
288,48314,0,48314,0,0,0,0,0
289,48316,0,48314,0,0,0,0,0
290,48314,0,48314,0,0,0,0,0
291,48314,0,48314,0,0,0,0,0
292,968806,0,858,16,89,4,0,0
293,96507,0,48370,0,0,0,0,0
294,530859,0,48370,0,0,0,0,0
295,387386,0,48300,0,0,0,0,0
296,289809,0,48303,0,0,0,0,0
297,870237,0,48302,0,0,0,0,0
298,145057,0,48303,0,0,0,0,0
299,48434,44,48170,0,0,0,0,0
300,48323,0,48259,0,44,0,0,0
301,48259,0,48259,0,0,0,0,0
302,48323,0,48323,0,0,0,0,0
303,534371,0,48323,0,0,0,0,0
304,48274,0,48274,0,0,0,0,0
305,94655,0,48274,0,0,0,0,0
306,386582,2,48268,0,0,0,0,0
307,48274,0,48271,0,2,0,0,0
308,48272,0,48272,0,0,0,0,0
309,48271,0,48271,0,0,0,0,0
310,48274,0,48272,0,0,0,0,0
311,48321,0,48321,0,0,0,0,0
312,48396,4,48309,0,0,0,0,0
313,968655,0,1547,0,4,0,0,0
314,96566,0,48250,0,0,0,0,0
315,531369,0,48253,0,0,0,0,0
316,387885,0,48252,0,0,0,0,0
317,289764,0,48253,0,0,0,0,0
318,870790,0,48252,0,0,0,0,0
319,144867,0,48253,0,0,0,0,0
320,48450,1,48310,0,0,0,0,0
321,48333,0,48312,0,1,0,0,0
322,48266,0,48266,0,0,0,0,0
323,48267,0,48267,0,0,0,0,0
324,532655,0,48266,0,0,0,0,0
325,48267,0,48267,0,0,0,0,0
326,96519,0,48267,0,0,0,0,0
327,386427,0,48267,0,0,0,0,0
328,48268,0,48267,0,0,0,0,0
329,48267,0,48267,0,0,0,0,0
330,48316,0,48316,0,0,0,0,0
331,48318,0,48316,0,0,0,0,0
332,48271,0,48271,0,0,0,0,0
333,48248,1,48247,0,0,0,0,0
334,968806,0,1417,16,90,4,0,0
335,96567,0,48315,0,0,0,0,0
336,531275,0,48316,0,0,0,0,0
337,387758,0,48315,0,0,0,0,0
338,289771,0,48316,0,0,0,0,0
339,870866,0,48377,0,0,0,0,0
340,145047,0,48377,0,0,0,0,0
341,48470,0,48331,0,0,0,0,0
342,48352,0,48332,0,0,0,0,0
343,48332,0,48332,0,0,0,0,0
344,48332,0,48332,0,0,0,0,0
345,532721,0,48331,0,0,0,0,0
346,48331,0,48331,0,0,0,0,0
347,96827,0,48342,16,88,4,0,0
348,386970,0,48388,0,0,0,0,0
349,48389,0,48388,0,0,0,0,0
350,48342,0,48342,0,0,0,0,0
351,48323,0,48323,0,0,0,0,0
352,48328,0,48326,0,0,0,0,0
353,48326,0,48326,0,0,0,0,0
354,48328,0,48327,0,0,0,0,0
355,968701,44,112,0,0,0,0,0
356,96722,0,48283,0,44,0,0,0
357,531961,0,48283,0,0,0,0,0
358,386968,0,48352,0,0,0,0,0
359,290134,0,48352,0,0,0,0,0
360,870385,0,48299,0,0,0,0,0
361,145083,0,48298,0,0,0,0,0
362,48438,0,48299,0,0,0,0,0
363,48318,0,48298,0,0,0,0,0
364,48299,0,48299,0,0,0,0,0
365,49747,0,48298,0,0,0,0,0
366,530379,2,48293,0,0,0,0,0
367,48419,4,48330,0,2,0,0,0
368,96657,0,48338,0,4,0,0,0
369,386646,0,48273,0,0,0,0,0
370,48278,0,48277,0,0,0,0,0
371,48276,0,48276,0,0,0,0,0
372,48277,0,48277,0,0,0,0,0
373,48278,0,48276,0,0,0,0,0
374,48277,0,48277,0,0,0,0,0
375,48276,0,48276,0,0,0,0,0
376,968651,1,2235,0,0,0,0,0
377,531955,0,48450,0,1,0,0,0
