Mar  5 12:29:37 ci010 kernel: 49813 | 0 49708 | 0 0 0 | 0 0
Mar  5 12:29:38 ci010 kernel: 49902 | 0 49709 | 0 0 0 | 0 0
Mar  5 12:29:38 ci010 kernel: 49900 | 0 49708 | 0 0 0 | 0 0
Mar  5 12:29:39 ci010 kernel: 49902 | 0 49709 | 0 0 0 | 0 0
Mar  5 12:29:40 ci010 kernel: 49903 | 0 49712 | 0 0 0 | 0 0
Mar  5 12:29:40 ci010 kernel: 49959 | 0 49712 | 0 0 0 | 0 0
Mar  5 12:29:41 ci010 kernel: 970263 | 0 25434 | 0 0 0 | 0 0
Mar  5 12:29:41 ci010 kernel: 970263 | 90 1 | 0 0 0 | 0 0
Mar  5 12:29:42 ci010 kernel: 75378 | 4 49696 | 0 90 0 | 0 0
Mar  5 12:29:42 ci010 kernel: 49740 | 52 49551 | 15 4 0 | 0 0
Mar  5 12:29:43 ci010 kernel: 49825 | 0 49656 | 1 51 0 | 0 0
Mar  5 12:29:43 ci010 kernel: 49771 | 0 49655 | 0 0 0 | 0 0
Mar  5 12:29:44 ci010 kernel: 49812 | 0 49701 | 5 4 0 | 0 0
Mar  5 12:29:44 ci010 kernel: 49806 | 0 49704 | 0 0 0 | 0 0
Mar  5 12:29:45 ci010 kernel: 49815 | 0 49710 | 0 1 0 | 0 0
Mar  5 12:29:45 ci010 kernel: 49814 | 0 49711 | 0 0 0 | 0 0
Mar  5 12:29:46 ci010 kernel: 49814 | 0 49710 | 0 0 0 | 0 0
Mar  5 12:29:47 ci010 kernel: 49933 | 0 49845 | 0 0 0 | 0 0
Mar  5 12:29:47 ci010 kernel: 49932 | 0 49845 | 0 0 0 | 0 0
Mar  5 12:29:48 ci010 kernel: 49812 | 0 49725 | 0 0 0 | 0 0
Mar  5 12:29:48 ci010 kernel: 49813 | 0 49726 | 0 0 0 | 0 0
Mar  5 12:29:49 ci010 kernel: 49813 | 0 49726 | 0 0 0 | 0 0
Mar  5 12:29:49 ci010 kernel: 49812 | 0 49726 | 0 0 0 | 0 0
Mar  5 12:29:50 ci010 kernel: 49815 | 0 49726 | 0 0 0 | 0 0
Mar  5 12:29:50 ci010 kernel: 49814 | 0 49725 | 0 0 0 | 0 0
Mar  5 12:29:51 ci010 kernel: 49818 | 0 49726 | 0 0 0 | 0 0
Mar  5 12:29:51 ci010 kernel: 49817 | 0 49725 | 0 0 0 | 0 0
Mar  5 12:29:52 ci010 kernel: 970214 | 0 25438 | 0 1035 0 | 0 0
Mar  5 12:29:52 ci010 kernel: 969179 | 0 0 | 0 0 0 | 0 0
Mar  5 12:29:53 ci010 kernel: 74143 | 0 48617 | 0 0 0 | 0 0
Mar  5 12:29:54 ci010 kernel: 48568 | 57 48424 | 0 0 0 | 0 0
Mar  5 12:29:54 ci010 kernel: 48702 | 0 48541 | 0 57 0 | 0 0
Mar  5 12:29:55 ci010 kernel: 48642 | 1 48537 | 0 0 0 | 0 0
Mar  5 12:29:55 ci010 kernel: 48707 | 0 48540 | 0 1 0 | 0 0
Mar  5 12:29:56 ci010 kernel: 48704 | 0 48539 | 0 0 0 | 0 0
Mar  5 12:29:56 ci010 kernel: 48660 | 11 48507 | 0 0 0 | 0 0
Mar  5 12:29:56 ci010 kernel: 48735 | 0 48583 | 0 11 0 | 0 0
Mar  5 12:29:57 ci010 kernel: 48556 | 56 48415 | 0 0 0 | 0 0
Mar  5 12:29:58 ci010 kernel: 48627 | 0 48486 | 0 56 0 | 0 0
Mar  5 12:29:58 ci010 kernel: 48573 | 0 48486 | 0 0 0 | 0 0
Mar  5 12:29:59 ci010 kernel: 48637 | 0 48543 | 4 3 0 | 0 0
Mar  5 12:29:59 ci010 kernel: 48630 | 0 48542 | 0 0 0 | 0 0
Mar  5 12:30:00 ci010 kernel: 48634 | 0 48543 | 0 0 0 | 0 0
Mar  5 12:30:00 ci010 kernel: 48634 | 0 48542 | 0 0 0 | 0 0
Mar  5 12:30:01 ci010 kernel: 48630 | 0 48543 | 0 0 0 | 0 0
Mar  5 12:30:01 ci010 kernel: 48783 | 0 48698 | 0 0 0 | 0 0
Mar  5 12:30:02 ci010 kernel: 48692 | 0 48607 | 0 0 0 | 0 0
Mar  5 12:30:02 ci010 kernel: 48644 | 0 48544 | 0 0 0 | 0 0
Mar  5 12:30:03 ci010 kernel: 969110 | 0 46717 | 0 0 0 | 0 0
Mar  5 12:30:03 ci010 kernel: 969110 | 14 1 | 0 0 0 | 0 0
Mar  5 12:30:04 ci010 kernel: 95331 | 0 48515 | 0 14 0 | 0 0
Mar  5 12:30:05 ci010 kernel: 48602 | 0 48514 | 0 0 0 | 0 0
Mar  5 12:30:05 ci010 kernel: 48603 | 0 48515 | 0 0 0 | 0 0
Mar  5 12:30:06 ci010 kernel: 48602 | 0 48514 | 0 0 0 | 0 0
Mar  5 12:30:06 ci010 kernel: 48603 | 0 48515 | 0 0 0 | 0 0
Mar  5 12:30:07 ci010 kernel: 48659 | 0 48573 | 0 0 0 | 0 0
Mar  5 12:30:07 ci010 kernel: 48676 | 0 48573 | 0 0 0 | 0 0
Mar  5 12:30:08 ci010 kernel: 48637 | 0 48533 | 0 0 0 | 0 0
Mar  5 12:30:08 ci010 kernel: 48635 | 0 48532 | 0 0 0 | 0 0
Mar  5 12:30:09 ci010 kernel: 48636 | 0 48533 | 0 0 0 | 0 0
Mar  5 12:30:09 ci010 kernel: 48635 | 0 48532 | 0 0 0 | 0 0
Mar  5 12:30:10 ci010 kernel: 48692 | 0 48533 | 0 0 0 | 0 0
Mar  5 12:30:10 ci010 kernel: 48675 | 0 48533 | 0 0 0 | 0 0
Mar  5 12:30:11 ci010 kernel: 48677 | 0 48536 | 0 0 0 | 0 0
Mar  5 12:30:12 ci010 kernel: 48705 | 4 48564 | 0 0 0 | 0 0
Mar  5 12:30:12 ci010 kernel: 48558 | 52 48415 | 0 4 0 | 0 0
Mar  5 12:30:13 ci010 kernel: 48618 | 0 48477 | 0 52 0 | 0 0
Mar  5 12:30:13 ci010 kernel: 48567 | 0 48478 | 0 0 0 | 0 0
Mar  5 12:30:14 ci010 kernel: 48544 | 0 48457 | 0 0 0 | 0 0
Mar  5 12:30:14 ci010 kernel: 969108 | 0 47112 | 5 4 0 | 0 0
Mar  5 12:30:15 ci010 kernel: 969099 | 0 0 | 0 0 0 | 0 0
Mar  5 12:30:15 ci010 kernel: 95714 | 0 48517 | 0 0 0 | 0 0
Mar  5 12:30:16 ci010 kernel: 48601 | 0 48516 | 0 0 0 | 0 0
Mar  5 12:30:16 ci010 kernel: 48602 | 0 48517 | 0 0 0 | 0 0
Mar  5 12:30:17 ci010 kernel: 48661 | 0 48576 | 0 0 0 | 0 0
Mar  5 12:30:17 ci010 kernel: 48615 | 0 48530 | 0 0 0 | 0 0
Mar  5 12:30:18 ci010 kernel: 48619 | 0 48531 | 0 0 0 | 0 0
Mar  5 12:30:19 ci010 kernel: 48618 | 0 48530 | 0 0 0 | 0 0
Mar  5 12:30:19 ci010 kernel: 48619 | 0 48531 | 0 0 0 | 0 0
Mar  5 12:30:20 ci010 kernel: 48620 | 0 48531 | 0 0 0 | 0 0
Mar  5 12:30:20 ci010 kernel: 48620 | 0 48531 | 0 0 0 | 0 0
Mar  5 12:30:21 ci010 kernel: 48615 | 0 48530 | 0 0 0 | 0 0
Mar  5 12:30:21 ci010 kernel: 48541 | 0 48132 | 0 324 0 | 0 0
Mar  5 12:30:22 ci010 kernel: 48262 | 0 48177 | 0 0 0 | 0 0
Mar  5 12:30:22 ci010 kernel: 48264 | 0 48177 | 0 0 0 | 0 0
Mar  5 12:30:23 ci010 kernel: 48222 | 0 48135 | 0 0 0 | 0 0
Mar  5 12:30:23 ci010 kernel: 48222 | 0 48135 | 0 0 0 | 0 0
Mar  5 12:30:24 ci010 kernel: 48206 | 0 48116 | 0 0 0 | 0 0
Mar  5 12:30:24 ci010 kernel: 48203 | 2 48113 | 0 0 0 | 0 0
Mar  5 12:30:25 ci010 kernel: 48206 | 0 48116 | 0 2 0 | 0 0
Mar  5 12:30:25 ci010 kernel: 48237 | 0 48117 | 0 0 0 | 0 0
