Mar  5 12:57:23 ci010 kernel: 49080 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:24 ci010 kernel: 49134 | 0 49134 | 0 0 0 | 0 0
Mar  5 12:57:24 ci010 kernel: 49134 | 0 49134 | 0 0 0 | 0 0
Mar  5 12:57:25 ci010 kernel: 49083 | 0 49083 | 0 0 0 | 0 0
Mar  5 12:57:25 ci010 kernel: 969440 | 0 2388 | 0 0 0 | 0 0
Mar  5 12:57:26 ci010 kernel: 622065 | 0 49062 | 0 0 0 | 0 0
Mar  5 12:57:26 ci010 kernel: 575412 | 0 49065 | 0 0 0 | 0 0
Mar  5 12:57:27 ci010 kernel: 49129 | 0 49064 | 0 0 0 | 0 0
Mar  5 12:57:28 ci010 kernel: 969440 | 0 34331 | 0 0 0 | 0 0
Mar  5 12:57:28 ci010 kernel: 49064 | 0 49064 | 0 0 0 | 0 0
Mar  5 12:57:29 ci010 kernel: 49124 | 0 49124 | 0 0 0 | 0 0
Mar  5 12:57:29 ci010 kernel: 49124 | 0 49124 | 0 0 0 | 0 0
Mar  5 12:57:30 ci010 kernel: 49078 | 0 49078 | 0 0 0 | 0 0
Mar  5 12:57:30 ci010 kernel: 49080 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:31 ci010 kernel: 444206 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:31 ci010 kernel: 49079 | 0 49079 | 0 0 0 | 0 0
Mar  5 12:57:32 ci010 kernel: 49080 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:32 ci010 kernel: 476170 | 0 49079 | 0 0 0 | 0 0
Mar  5 12:57:33 ci010 kernel: 49081 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:33 ci010 kernel: 49131 | 0 49131 | 0 0 0 | 0 0
Mar  5 12:57:34 ci010 kernel: 49131 | 0 49131 | 0 0 0 | 0 0
Mar  5 12:57:35 ci010 kernel: 49087 | 0 49085 | 0 0 0 | 0 0
Mar  5 12:57:35 ci010 kernel: 49086 | 0 49086 | 0 0 0 | 0 0
Mar  5 12:57:36 ci010 kernel: 49063 | 0 49063 | 0 0 0 | 0 0
Mar  5 12:57:36 ci010 kernel: 969440 | 0 49064 | 0 0 0 | 0 0
Mar  5 12:57:37 ci010 kernel: 574557 | 0 48954 | 8 328 0 | 0 0
Mar  5 12:57:37 ci010 kernel: 588835 | 0 48624 | 0 331 0 | 0 0
Mar  5 12:57:38 ci010 kernel: 48682 | 0 48623 | 0 0 0 | 0 0
Mar  5 12:57:39 ci010 kernel: 968988 | 0 3378 | 0 0 0 | 0 0
Mar  5 12:57:39 ci010 kernel: 48724 | 0 48724 | 0 0 0 | 0 0
Mar  5 12:57:40 ci010 kernel: 48638 | 0 48638 | 0 0 0 | 0 0
Mar  5 12:57:40 ci010 kernel: 48639 | 0 48639 | 0 0 0 | 0 0
Mar  5 12:57:41 ci010 kernel: 48638 | 0 48638 | 0 0 0 | 0 0
Mar  5 12:57:41 ci010 kernel: 48639 | 0 48639 | 0 0 0 | 0 0
Mar  5 12:57:42 ci010 kernel: 493241 | 0 48638 | 0 0 0 | 0 0
Mar  5 12:57:42 ci010 kernel: 48639 | 0 48639 | 0 0 0 | 0 0
Mar  5 12:57:43 ci010 kernel: 48639 | 0 48639 | 0 0 0 | 0 0
Mar  5 12:57:43 ci010 kernel: 437879 | 2 48632 | 0 0 0 | 0 0
Mar  5 12:57:44 ci010 kernel: 48688 | 0 48685 | 1 1 0 | 0 0
Mar  5 12:57:44 ci010 kernel: 48685 | 0 48685 | 0 0 0 | 0 0
Mar  5 12:57:45 ci010 kernel: 48637 | 0 48637 | 0 0 0 | 0 0
Mar  5 12:57:45 ci010 kernel: 48611 | 0 48609 | 0 0 0 | 0 0
Mar  5 12:57:46 ci010 kernel: 48612 | 0 48612 | 0 0 0 | 0 0
Mar  5 12:57:46 ci010 kernel: 48611 | 0 48611 | 0 0 0 | 0 0
Mar  5 12:57:47 ci010 kernel: 968987 | 8 41030 | 0 0 0 | 0 0
Mar  5 12:57:48 ci010 kernel: 52002 | 14 48561 | 0 8 0 | 0 0
Mar  5 12:57:48 ci010 kernel: 535163 | 40 48469 | 0 14 0 | 0 0
Mar  5 12:57:49 ci010 kernel: 628197 | 0 48607 | 0 40 0 | 0 0
Mar  5 12:57:49 ci010 kernel: 48654 | 1 48604 | 0 0 0 | 0 0
Mar  5 12:57:50 ci010 kernel: 968925 | 0 3745 | 0 1 0 | 0 0
