Mar  5 12:53:26 ci010 kernel: 969719 | 6 11402 | 0 0 0 | 0 0
Mar  5 12:53:27 ci010 kernel: 969720 | 0 12 | 1 5 0 | 0 0
Mar  5 12:53:28 ci010 kernel: 49448 | 0 49177 | 0 0 0 | 0 0
Mar  5 12:53:28 ci010 kernel: 49178 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:29 ci010 kernel: 49178 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:29 ci010 kernel: 601711 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:30 ci010 kernel: 49178 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:30 ci010 kernel: 49177 | 0 49177 | 0 0 0 | 0 0
Mar  5 12:53:31 ci010 kernel: 295302 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:31 ci010 kernel: 49177 | 0 49177 | 0 0 0 | 0 0
Mar  5 12:53:32 ci010 kernel: 49350 | 0 49350 | 0 0 0 | 0 0
Mar  5 12:53:32 ci010 kernel: 49178 | 0 49177 | 0 0 0 | 0 0
Mar  5 12:53:33 ci010 kernel: 49179 | 0 49178 | 0 0 0 | 0 0
Mar  5 12:53:33 ci010 kernel: 49177 | 0 49177 | 0 0 0 | 0 0
Mar  5 12:53:34 ci010 kernel: 49093 | 0 48091 | 0 1002 0 | 0 0
Mar  5 12:53:34 ci010 kernel: 48075 | 5 48051 | 0 0 0 | 0 0
Mar  5 12:53:35 ci010 kernel: 59471 | 0 48064 | 0 5 0 | 0 0
Mar  5 12:53:36 ci010 kernel: 48074 | 0 48063 | 0 0 0 | 0 0
Mar  5 12:53:36 ci010 kernel: 48064 | 0 48064 | 0 0 0 | 0 0
Mar  5 12:53:37 ci010 kernel: 195658 | 0 48124 | 0 0 0 | 0 0
Mar  5 12:53:37 ci010 kernel: 968638 | 0 30085 | 0 0 0 | 0 0
Mar  5 12:53:38 ci010 kernel: 48079 | 0 48079 | 0 0 0 | 0 0
Mar  5 12:53:38 ci010 kernel: 968638 | 0 12470 | 0 0 0 | 0 0
Mar  5 12:53:39 ci010 kernel: 968638 | 0 10 | 0 0 0 | 0 0
Mar  5 12:53:39 ci010 kernel: 48290 | 0 48078 | 0 0 0 | 0 0
Mar  5 12:53:40 ci010 kernel: 48079 | 0 48079 | 0 0 0 | 0 0
Mar  5 12:53:40 ci010 kernel: 48078 | 0 48078 | 0 0 0 | 0 0
Mar  5 12:53:41 ci010 kernel: 595145 | 3 48070 | 0 0 0 | 0 0
Mar  5 12:53:41 ci010 kernel: 48124 | 0 48121 | 0 3 0 | 0 0
Mar  5 12:53:42 ci010 kernel: 48121 | 0 48121 | 0 0 0 | 0 0
Mar  5 12:53:43 ci010 kernel: 318821 | 0 48075 | 0 0 0 | 0 0
Mar  5 12:53:43 ci010 kernel: 48076 | 0 48076 | 0 0 0 | 0 0
Mar  5 12:53:44 ci010 kernel: 48076 | 0 48076 | 0 0 0 | 0 0
Mar  5 12:53:44 ci010 kernel: 48074 | 1 48073 | 0 0 0 | 0 0
Mar  5 12:53:45 ci010 kernel: 48056 | 1 48054 | 0 1 0 | 0 0
Mar  5 12:53:45 ci010 kernel: 48069 | 0 48059 | 0 1 0 | 0 0
Mar  5 12:53:46 ci010 kernel: 48058 | 0 48058 | 0 0 0 | 0 0
Mar  5 12:53:46 ci010 kernel: 48078 | 0 48059 | 0 0 0 | 0 0
Mar  5 12:53:47 ci010 kernel: 48120 | 0 48120 | 0 0 0 | 0 0
Mar  5 12:53:47 ci010 kernel: 48075 | 0 48074 | 0 0 0 | 0 0
Mar  5 12:53:48 ci010 kernel: 48075 | 0 48075 | 0 0 0 | 0 0
Mar  5 12:53:48 ci010 kernel: 204852 | 2 48068 | 0 0 0 | 0 0
Mar  5 12:53:49 ci010 kernel: 968633 | 0 12331 | 0 2 0 | 0 0
Mar  5 12:53:50 ci010 kernel: 48072 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:53:50 ci010 kernel: 968631 | 1 42562 | 0 0 0 | 0 0
Mar  5 12:53:51 ci010 kernel: 968631 | 0 1 | 0 1 0 | 0 0
Mar  5 12:53:51 ci010 kernel: 48274 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:53:52 ci010 kernel: 48236 | 0 48236 | 0 0 0 | 0 0
Mar  5 12:53:52 ci010 kernel: 607159 | 0 48239 | 0 0 0 | 0 0
Mar  5 12:53:53 ci010 kernel: 48080 | 0 48080 | 0 0 0 | 0 0
Mar  5 12:53:54 ci010 kernel: 48079 | 0 48079 | 0 0 0 | 0 0
Mar  5 12:53:54 ci010 kernel: 265537 | 0 48080 | 0 0 0 | 0 0
Mar  5 12:53:55 ci010 kernel: 48058 | 0 48058 | 0 0 0 | 0 0
Mar  5 12:53:55 ci010 kernel: 48061 | 0 48061 | 0 0 0 | 0 0
Mar  5 12:53:56 ci010 kernel: 48060 | 0 48060 | 0 0 0 | 0 0
Mar  5 12:53:56 ci010 kernel: 48061 | 0 48061 | 0 0 0 | 0 0
Mar  5 12:53:57 ci010 kernel: 48220 | 9 48211 | 0 0 0 | 0 0
Mar  5 12:53:57 ci010 kernel: 78330 | 0 48229 | 0 9 0 | 0 0
Mar  5 12:53:58 ci010 kernel: 48087 | 0 48068 | 0 0 0 | 0 0
Mar  5 12:53:58 ci010 kernel: 48069 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:53:59 ci010 kernel: 48068 | 0 48068 | 0 0 0 | 0 0
Mar  5 12:53:59 ci010 kernel: 48069 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:54:00 ci010 kernel: 192467 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:54:00 ci010 kernel: 968625 | 0 47624 | 0 0 0 | 0 0
Mar  5 12:54:01 ci010 kernel: 48069 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:54:02 ci010 kernel: 968625 | 0 42426 | 0 0 0 | 0 0
Mar  5 12:54:02 ci010 kernel: 968625 | 0 12467 | 0 0 0 | 0 0
Mar  5 12:54:03 ci010 kernel: 48275 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:54:03 ci010 kernel: 48070 | 0 48070 | 0 0 0 | 0 0
Mar  5 12:54:04 ci010 kernel: 624750 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:54:04 ci010 kernel: 47872 | 0 47716 | 0 156 0 | 0 0
Mar  5 12:54:05 ci010 kernel: 47694 | 0 47694 | 0 0 0 | 0 0
Mar  5 12:54:05 ci010 kernel: 294893 | 0 47697 | 0 0 0 | 0 0
Mar  5 12:54:06 ci010 kernel: 47696 | 0 47696 | 0 0 0 | 0 0
Mar  5 12:54:06 ci010 kernel: 47697 | 0 47697 | 0 0 0 | 0 0
Mar  5 12:54:07 ci010 kernel: 47757 | 0 47757 | 0 0 0 | 0 0
Mar  5 12:54:07 ci010 kernel: 47757 | 0 47757 | 0 0 0 | 0 0
Mar  5 12:54:08 ci010 kernel: 47711 | 0 47711 | 0 0 0 | 0 0
Mar  5 12:54:09 ci010 kernel: 47712 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:09 ci010 kernel: 47731 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:10 ci010 kernel: 47712 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:10 ci010 kernel: 95506 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:11 ci010 kernel: 47711 | 0 47711 | 0 0 0 | 0 0
Mar  5 12:54:11 ci010 kernel: 233298 | 0 47709 | 0 0 0 | 0 0
Mar  5 12:54:12 ci010 kernel: 634050 | 0 47709 | 0 0 0 | 0 0
